Job ID: 10490560
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id InvertedPendulum-v4   --run-id 10490560   --seed 5   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=3217, episode=452, episodic_return=5.000
global_step=3222, episode=453, episodic_return=4.000
global_step=3228, episode=454, episodic_return=5.000
global_step=3239, episode=455, episodic_return=10.000
global_step=3243, episode=456, episodic_return=3.000
global_step=3249, episode=457, episodic_return=5.000
global_step=3256, episode=458, episodic_return=6.000
global_step=3263, episode=459, episodic_return=6.000
global_step=3271, episode=460, episodic_return=7.000
global_step=3279, episode=461, episodic_return=7.000
global_step=3287, episode=462, episodic_return=7.000
global_step=3293, episode=463, episodic_return=5.000
global_step=3297, episode=464, episodic_return=3.000
global_step=3305, episode=465, episodic_return=7.000
global_step=3310, episode=466, episodic_return=4.000
global_step=3314, episode=467, episodic_return=3.000
global_step=3322, episode=468, episodic_return=7.000
global_step=3329, episode=469, episodic_return=6.000
global_step=3334, episode=470, episodic_return=4.000
global_step=3343, episode=471, episodic_return=8.000
global_step=3348, episode=472, episodic_return=4.000
global_step=3358, episode=473, episodic_return=9.000
global_step=3365, episode=474, episodic_return=6.000
global_step=3373, episode=475, episodic_return=7.000
global_step=3377, episode=476, episodic_return=3.000
global_step=3382, episode=477, episodic_return=4.000
global_step=3386, episode=478, episodic_return=3.000
global_step=3395, episode=479, episodic_return=8.000
global_step=3399, episode=480, episodic_return=3.000
global_step=3405, episode=481, episodic_return=5.000
global_step=3411, episode=482, episodic_return=5.000
global_step=3418, episode=483, episodic_return=6.000
global_step=3426, episode=484, episodic_return=7.000
global_step=3435, episode=485, episodic_return=8.000
global_step=3439, episode=486, episodic_return=3.000
global_step=3445, episode=487, episodic_return=5.000
global_step=3452, episode=488, episodic_return=6.000
global_step=3456, episode=489, episodic_return=3.000
global_step=3463, episode=490, episodic_return=6.000
global_step=3472, episode=491, episodic_return=8.000
global_step=3486, episode=492, episodic_return=13.000
global_step=3496, episode=493, episodic_return=9.000
global_step=3503, episode=494, episodic_return=6.000
global_step=3510, episode=495, episodic_return=6.000
